name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Galan D.E.,0,0,0,0,0,0,0,0,0,0,0
Galdon P.,158,184,121,77,17,0,0,0,0,0,0
Galovic V.,3,6,89,57,56,58,52,279,222,189,177
Galvani S.,165,279,35,0,0,0,0,0,0,0,0
Gao X.,0,1,1,1,18,23,88,44,26,28,16
Garanganga T.,14,35,90,110,110,107,67,77,67,55,51
Garcia-Lopez G.,1275,755,667,768,1040,1430,725,714,543,370,258
Garin C.,0,0,11,103,195,149,251,158,648,1297,2170
Garza D.,75,125,97,36,63,48,1,0,0,0,0
Gasquet R.,1385,1765,2515,3300,1350,2850,1885,1375,1535,890,1145
Gaston H.,0,0,0,0,0,0,2,3,5,185,390
Gaudio G.,132,0,0,0,0,0,0,0,0,0,0
Gensse A.,253,349,172,1,0,0,0,0,0,0,0
Gerasimov E.,2,4,63,184,187,264,164,379,332,581,834
Ghedin R.,162,128,177,80,37,86,13,10,1,0,0
Ghem A.,55,167,142,218,313,389,243,51,0,0,0
Giannessi A.,63,395,184,163,118,205,475,353,330,361,386
Gicquel M.,368,364,368,469,132,0,0,0,0,0,0
Gigounon G.,17,77,90,196,166,203,182,19,120,0,0
Gil F.,551,561,407,19,44,32,97,65,135,67,66
Gimeno-Traver D.,844,547,704,650,510,590,518,116,307,84,84
Ginepri R.,379,140,161,222,219,12,0,0,0,0,0
Giraldo S.,785,890,778,703,1175,716,632,230,178,151,140
Giron M.,4,2,2,54,113,84,54,168,119,574,869
Giustino L.,8,20,61,203,120,206,249,198,274,347,426
Goffin D.,210,287,868,510,1599,1880,2750,3775,1785,2335,2555
Gojo B.,0,0,0,0,0,0,31,35,78,149,257
Gojowczyk P.,64,192,285,321,641,254,301,817,855,473,454
Golding O.,4,32,77,98,55,0,0,30,0,0,0
Golubev A.,1135,356,342,620,691,241,230,48,0,23,23
Gombos N.,39,73,124,257,443,431,441,423,189,507,789
Gomez A.,0,0,0,0,0,0,0,0,0,0,0
Gomez E.,24,4,39,144,148,151,167,66,119,364,395
Gomez L.,0,1,1,4,24,64,58,19,33,10,10
Gomez-Herrera C.,0,0,0,0,0,0,0,0,0,0,0
Gong M.X.,126,98,106,27,32,10,0,0,0,5,5
Gonzalez A.,0,0,0,0,0,0,0,0,0,0,0
Gonzalez F.,0,0,0,0,0,0,0,0,0,0,0
Gonzalez M.,389,481,124,332,554,404,410,105,20,0,0
Gonzalez S.,185,45,0,0,6,0,0,0,0,0,0
Goodall J.,0,0,0,0,0,0,0,0,0,0,0
Granollers G.,102,209,146,215,137,163,62,106,25,29,17
Granollers M.,993,1335,1100,1110,860,645,1136,298,598,497,367
Granollers Pujol G.,0,0,0,0,0,0,0,0,0,0,0
Granollers-Pujol G.,0,0,0,0,0,0,0,0,0,0,0
Gray A.,0,0,0,0,0,0,0,0,0,0,0
Gremelmayr D.,469,262,56,2,0,0,0,0,0,0,0
Grenier H.,0,0,0,0,0,0,0,0,0,0,0
Greul S.,428,336,374,231,0,0,0,0,0,0,0
Griekspoor T.,0,0,0,0,4,54,134,223,231,288,423
Grigelis L.,99,248,90,179,132,167,192,179,158,81,90
Grosjean S.,20,0,0,0,0,0,0,0,0,0,0
Groth S.,180,16,220,307,625,782,320,209,0,0,0
Guccione C.,108,185,47,65,12,0,0,0,0,0,0
Guez D.,316,250,218,286,233,306,102,172,127,0,0
Gulbis E.,1505,785,404,1393,2455,655,406,258,611,216,351
Gunneswaran P.,0,0,12,74,3,81,148,215,538,442,506
Gutierrez-Ferrol S.,175,36,294,13,2,1,0,103,351,25,25
Haas T.,110,237,1695,2435,675,83,0,205,0,0,0
Haase R.,778,926,780,977,620,740,795,1130,965,316,330
Haider-Maurer A.,476,456,504,506,621,775,0,81,38,0,0
Hajek J.,570,376,527,540,108,0,0,0,0,0,0
Hajji A.,0,0,0,0,0,0,0,0,0,0,0
Halebian A.,1,3,5,19,14,50,31,49,17,1,0
Halys Q.,0,0,6,31,42,244,399,436,444,222,310
Hamou M.,0,0,4,15,129,140,153,133,5,111,113
Hanescu V.,915,600,753,636,455,183,10,0,0,0,0
Hanfmann Y.,9,3,1,5,18,43,152,499,354,294,728
Hank T.,5,0,2,39,59,90,9,11,20,20,21
Harris A.,0,3,5,47,39,40,0,83,86,318,251
Harris L.,0,0,0,0,1,126,176,170,520,576,793
Harrison C.,0,9,67,88,0,0,79,209,200,30,22
Harrison R.,309,658,710,549,261,528,632,1010,810,131,73
Hemery C.,0,0,0,42,63,231,170,347,228,83,76
Herbert P.H.,63,115,185,344,511,313,698,652,903,865,812
Hernandez O.,220,0,0,2,20,0,0,0,0,0,0
Hernandez-Fernandez J.,0,0,48,149,183,210,216,173,150,144,142
Hernych J.,196,303,245,216,244,175,98,1,0,0,0
Hewitt L.,870,265,625,780,845,160,45,0,0,0,0
Hoang A.,0,0,0,4,34,39,82,156,390,478,550
Hocevar R.,200,167,196,190,67,58,60,19,0,0,0
Holmgren A.,0,0,0,0,0,0,2,3,0,7,7
Horansky F.,0,11,39,45,137,123,97,149,262,299,345
Hossam K.,1,0,5,127,17,27,16,2,0,0,0
Hrbaty D.,91,23,6,2,0,0,0,0,0,0,0
Huesler M.A.,0,0,0,0,2,0,11,46,89,148,444
Humbert U.,0,0,0,0,0,11,12,110,653,912,1646
Hurkacz H.,0,0,0,0,3,49,115,220,636,1198,1518
Huta Galung J.,433,234,216,549,257,97,91,1,0,0,0
Idmbarek Y.,8,14,2,26,31,11,7,0,0,0,0
Ilhan M.,574,514,222,276,553,520,213,149,66,47,49
Ilkel C.,0,0,1,10,94,98,125,200,237,144,260
Im K.T.,66,66,3,0,0,0,0,0,0,0,0
Inglot D.,21,0,12,12,0,0,0,0,0,0,0
Isner J.,1850,1800,2215,2150,1890,2495,1850,2265,3155,1770,1850
Istomin D.,1031,685,897,965,850,781,492,809,622,288,348
Ito T.,286,474,655,334,576,487,333,361,363,362,342
Ivashka I.,0,0,0,24,31,129,321,227,622,422,674
Janowicz J.,334,222,1299,1615,915,795,180,484,0,0,68
Janvier M.,0,0,0,1,32,138,201,108,260,240,293
Jarry N.,0,0,1,19,220,118,144,541,1022,695,0
Jasika O.,0,0,4,9,55,159,124,185,18,0,0
Jaziri M.,130,485,491,312,676,566,814,580,1014,251,219
Jelenic P.,20,0,0,0,0,0,0,0,0,0,0
Jeong S.Y.,32,16,128,109,1,0,0,0,0,0,0
Johansson J.,10,49,0,32,0,0,0,0,0,0,0
Johnson S.,30,110,296,333,999,1240,1320,1055,1190,630,870
Jones G.,0,1,0,0,0,0,0,0,0,0,0
Jouan R.,174,209,110,99,0,5,99,13,0,0,0
Jubb P.,0,0,0,0,0,0,0,2,30,58,62
Junaid R.,103,6,7,0,0,0,0,0,0,0,0
