player_id,name,hand,date_of_birth,country,height
117365,Chrysochos P.,R,19960408,CYP,177
102889,Chung H.,R,19761125,KOR,177
104820,Chvojka E.,L,19861026,CAN,177
105227,Cilic M.,R,19880928,CRO,198
106430,Ciorcila P.,R,19960920,ROU,177
104262,Cipolla F.,R,19831020,ITA,173
118918,Clarke J.,U,19861016,USA,177
103096,Clement A.,R,19771217,FRA,173
106105,Clezar G.,R,19921231,BRA,183
207925,Cobolli F.,U,20020506,ITA,177
105911,Collarini A.,L,19920131,ARG,177
105657,Copil M.,R,19901017,ROU,193
106293,Coppejans K.,R,19940207,BEL,180
105948,Coria F.,R,19920309,ARG,177
106432,Coric B.,R,19961114,CRO,188
105100,Corrie E.,U,19880221,GBR,177
111505,Couacaud E.,R,19950301,FRA,177
105638,Cox D.,R,19900928,GBR,170
202195,Cressy M.,R,19970508,USA,198
104003,Crivoi V.,R,19820525,ROU,185
104192,Crugnola M.,R,19830524,ITA,188
104655,Cuevas P.,R,19860101,URU,180
104314,Dabul B.,L,19840224,ARG,170
104433,Dancevic F.,R,19840926,CAN,185
101207,Daniel M.,R,19651121,ISR,188
106121,Daniel T.,R,19930127,JPN,191
104327,Darcis S.,R,19840313,BEL,178
104850,Dasnieres de Veigy J.,L,19870105,FRA,177
200221,Davidovich Fokina A.,R,19990605,ESP,183
103786,Davydenko N.,R,19810602,RUS,178
106053,Davydenko P.,U,19920902,RUS,177
105217,De Bakker T.,R,19880919,NED,193
100951,De Greef A.,R,19630804,ITA,175
102973,De Heart R.,R,19770419,NED,177
100889,De Loore J.,R,19630202,USA,188
100951,De Minaur A.,R,19630804,ITA,175
100351,De Paula F.,R,19541030,PUR,177
104932,De Schepper K.,L,19870529,FRA,203
102973,De Voest R.,R,19770419,NED,177
103850,Decoud S.,L,19810918,ARG,178
106277,Deen Heshaam A.,R,19931224,MAS,177
104281,Deheart R.,L,19840103,USA,183
113812,Del Bonis F.,U,18930000,MEX,177
