Winner,Loser,Odds
Pouille L.,Shapovalov D.,2.5:1.53
Bautista Agut R.,Tiafoe F.,1.3:3.51
Khachanov K.,Kyrgios N.,2.26:1.64
Nishioka Y.,De Minaur A.,2.48:1.54
Gasquet R.,Schwartzman D.,2.49:1.54
Goffin D.,Mannarino A.,1.45:2.75
Medvedev D.,Struff J.L.,1.38:3.04
Bautista Agut R.,Kecmanovic M.,1.38:3.04
Rublev A.,Federer R.,7.12:1.1
Pouille L.,Khachanov K.,2.76:1.45
Djokovic N.,Carreno Busta P.,1.06:9.98
Gasquet R.,Bautista Agut R.,4.06:1.24
Goffin D.,Nishioka Y.,1.48:2.65
Medvedev D.,Rublev A.,1.31:3.45
Djokovic N.,Pouille L.,1.04:11.02
Goffin D.,Gasquet R.,1.46:2.74
Medvedev D.,Djokovic N.,3.39:1.33
Medvedev D.,Goffin D.,1.4:2.98
Haase R.,Kudla D.,2.02:1.78
Gunneswaran P.,Stebe C.M.,1.66:2.2
Harris L.,Munar J.,1.73:2.09
Berdych T.,Seppi A.,1.75:2.07
Copil M.,Klizan M.,1.97:1.83
Andujar P.,Jarry N.,3.12:1.36
Cecchinato M.,Bublik A.,2.33:1.59
Lee D.H.,Laaksonen H.,1.92:1.87
Popyrin A.,Monteiro J.,1.42:2.82
Fratangelo B.,Weintraub A.,1.05:10.3
Sandgren T.,Murray A.,2.16:1.68
Carballes Baena R.,Giron M.,2.22:1.64
Chardy J.,Sarmiento R.,1.28:3.68
Johnson S.,Moutet C.,1.35:3.16
Rublev A.,Fabbiano T.,1.32:3.37
Dzumhur D.,Hoang A.,1.57:2.39
Millman J.,Cecchinato M.,1.4:2.92
Haase R.,Sousa J.,2.17:1.68
Paire B.,Gunneswaran P.,1.49:2.61
Carreno Busta P.,Copil M.,1.33:3.29
Hurkacz H.,Lee D.H.,1.18:4.88
Ruud C.,Harris L.,1.66:2.22
Krajinovic F.,Berdych T.,1.72:2.11
Lopez F.,Andujar P.,1.66:2.22
Humbert U.,Fratangelo B.,1.71:2.13
Johnson S.,Evans D.,2.06:1.8
Kecmanovic M.,Popyrin A.,1.53:2.49
Querrey S.,Carballes Baena R.,1.27:3.8
Sonego L.,Dzumhur D.,1.48:2.63
Shapovalov D.,Sandgren T.,1.38:3.04
Rublev A.,Ramos-Vinolas A.,1.34:3.26
Tiafoe F.,Chardy J.,1.6:2.31
Millman J.,Haase R.,1.58:2.38
Paire B.,Humbert U.,1.81:1.99
Johnson S.,Ruud C.,1.44:2.76
Carreno Busta P.,Sonego L.,1.73:2.09
Shapovalov D.,Kecmanovic M.,1.66:2.2
Hurkacz H.,Lopez F.,1.38:3.0
Tiafoe F.,Krajinovic F.,1.78:2.02
Rublev A.,Querrey S.,1.99:1.82
Paire B.,Carreno Busta P.,1.97:1.84
Johnson S.,Millman J.,1.61:2.32
Shapovalov D.,Rublev A.,1.79:2.02
Hurkacz H.,Tiafoe F.,1.89:1.91
Paire B.,Johnson S.,2.46:1.54
Hurkacz H.,Shapovalov D.,2.56:1.51
Hurkacz H.,Paire B.,1.51:2.57
Lajovic D.,Darcis S.,1.2:4.59
Garin C.,Eubanks C.,1.36:3.16
Kudla D.,Tipsarevic J.,1.56:2.42
Klahn B.,Monteiro T.,1.61:2.32
Brooksby J.,Berdych T.,3.67:1.29
Basilashvili N.,Fucsovics M.,1.66:2.23
Nishikori K.,Trungelliti M.,1.05:10.74
De Minaur A.,Herbert P.H.,1.28:3.71
Evans D.,Mannarino A.,1.79:2.03
Medvedev D.,Gunneswaran P.,1.01:20.19
Opelka R.,Fognini F.,1.73:2.12
Dellien H.,Kwon S.W.,7.93:1.08
Lorenzi P.,Svajda Z.,1.06:9.21
Djokovic N.,Carballes Baena R.,1.02:17.33
Kecmanovic M.,Djere L.,1.2:4.63
Dimitrov G.,Seppi A.,1.31:3.48
Londero J.I.,Querrey S.,3.62:1.29
Goffin D.,Moutet C.,1.07:8.63
Barrere G.,Norrie C.,3.43:1.32
Koepfer D.,Munar J.,1.41:2.93
Pouille L.,Kohlschreiber P.,1.48:2.66
Dzumhur D.,Benchetrit E.,1.38:3.03
Coric B.,Donskoy E.,1.24:4.1
Chardy J.,Hurkacz H.,3.34:1.33
Cuevas P.,Sock J.,1.63:2.29
Carreno Busta P.,Pella G.,1.83:1.97
Lopez F.,Fritz T.,3.78:1.27
Nishioka Y.,Giron M.,1.3:3.53
Majchrzak K.,Jarry N.,2.02:1.79
Wawrinka S.,Sinner J.,1.15:5.4
Berankis R.,Vesely J.,1.77:2.07
Federer R.,Nagal S.,1.01:23.33
Popyrin A.,Delbonis F.,1.63:2.29
Berrettini M.,Gasquet R.,2.26:1.64
Simon G.,Fratangelo B.,1.46:2.72
Kukushkin M.,Bautista Agut R.,7.88:1.08
Sonego L.,Granollers M.,1.5:2.6
Rublev A.,Tsitsipas S.,2.59:1.5
Bublik A.,Giraldo S.,1.64:2.27
Cilic M.,Klizan M.,1.13:6.19
Verdasco F.,Kamke T.,1.3:3.5
Thompson J.,Sousa J.,1.77:2.05
Andujar P.,Edmund K.,4.64:1.2
Isner J.,Garcia-Lopez G.,1.17:5.07
Zverev A.,Albot R.,1.44:2.81
Stebe C.M.,Krajinovic F.,4.84:1.18
Struff J.L.,Ruud C.,1.36:3.16
Sandgren T.,Tsonga J.W.,2.87:1.42
Fabbiano T.,Thiem D.,5.52:1.15
Chung H.,Escobedo E.,1.19:4.77
Copil M.,Humbert U.,2.92:1.41
Pospisil V.,Khachanov K.,7.19:1.1
Kokkinakis T.,Ivashka I.,1.89:1.92
Schwartzman D.,Haase R.,1.26:3.88
Bedene A.,Kovalik J.,1.21:4.42
Paire B.,Schnur B.,1.25:3.95
Gerasimov E.,Harris L.,1.58:2.39
Tiafoe F.,Karlovic I.,1.26:3.91
Hoang A.,Mayer L.,2.56:1.52
Shapovalov D.,Auger-Aliassime F.,1.65:2.24
Laaksonen H.,Cecchinato M.,2.27:1.64
Monfils G.,Ramos-Vinolas A.,1.25:4.03
Nadal R.,Millman J.,1.02:16.21
Kyrgios N.,Johnson S.,1.43:2.82
Dimitrov G.,Coric B.,2.3:1.62
Nishikori K.,Klahn B.,1.13:6.26
Federer R.,Dzumhur D.,1.04:11.44
Djokovic N.,Londero J.I.,1.01:19.48
Koepfer D.,Opelka R.,2.95:1.4
Goffin D.,Barrere G.,1.06:9.7
De Minaur A.,Garin C.,1.2:4.56
Majchrzak K.,Cuevas P.,2.09:1.75
Evans D.,Pouille L.,2.1:1.73
Kudla D.,Lajovic D.,2.77:1.45
Zverev A.,Tiafoe F.,1.52:2.55
Lorenzi P.,Kecmanovic M.,9.32:1.06
Bedene A.,Paire B.,2.65:1.48
Carreno Busta P.,Berankis R.,1.25:3.99
Wawrinka S.,Chardy J.,1.33:3.34
Medvedev D.,Dellien H.,1.02:14.3
Berrettini M.,Thompson J.,1.51:2.56
Lopez F.,Nishioka Y.,2.85:1.43
Basilashvili N.,Brooksby J.,1.22:4.35
Isner J.,Struff J.L.,1.74:2.1
Popyrin A.,Kukushkin M.,2.06:1.76
Bublik A.,Fabbiano T.,2.44:1.56
Andujar P.,Sonego L.,3.26:1.34
Shapovalov D.,Laaksonen H.,1.06:9.3
Rublev A.,Simon G.,1.35:3.21
Schwartzman D.,Gerasimov E.,1.23:4.19
Kyrgios N.,Hoang A.,1.09:7.26
Sandgren T.,Pospisil V.,1.53:2.52
Monfils G.,Copil M.,1.13:6.01
Chung H.,Verdasco F.,1.81:2.0
Nadal R.,Kokkinakis T.,1.04:10.92
Cilic M.,Stebe C.M.,1.09:7.7
De Minaur A.,Nishikori K.,2.47:1.55
Federer R.,Evans D.,1.16:5.27
Goffin D.,Carreno Busta P.,1.34:3.3
Wawrinka S.,Lorenzi P.,1.07:9.12
Dimitrov G.,Majchrzak K.,1.27:3.86
Koepfer D.,Basilashvili N.,2.45:1.55
Medvedev D.,Lopez F.,1.3:3.59
Djokovic N.,Kudla D.,1.08:8.26
Andujar P.,Bublik A.,1.55:2.46
Nadal R.,Chung H.,1.02:15.67
Zverev A.,Bedene A.,1.26:3.87
Cilic M.,Isner J.,2.01:1.81
Berrettini M.,Popyrin A.,1.34:3.22
Schwartzman D.,Sandgren T.,1.25:4.09
Monfils G.,Shapovalov D.,1.72:2.14
Rublev A.,Kyrgios N.,2.58:1.51
Federer R.,Goffin D.,1.16:5.24
Dimitrov G.,De Minaur A.,2.78:1.44
Medvedev D.,Koepfer D.,1.14:6.01
Wawrinka S.,Djokovic N.,4.65:1.2
Schwartzman D.,Zverev A.,1.99:1.84
Berrettini M.,Rublev A.,2.75:1.46
Monfils G.,Andujar P.,1.17:5.09
Nadal R.,Cilic M.,1.07:8.79
Medvedev D.,Wawrinka S.,2.03:1.81
Dimitrov G.,Federer R.,9.44:1.06
Berrettini M.,Monfils G.,2.57:1.52
Nadal R.,Schwartzman D.,1.06:9.99
Medvedev D.,Dimitrov G.,1.46:2.78
Nadal R.,Berrettini M.,1.06:9.96
Nadal R.,Medvedev D.,1.19:4.96
Hoang A.,Stebe C.M.,1.6:2.33
Verdasco F.,Darcis S.,1.24:4.03
Krajinovic F.,Gojowczyk P.,1.71:2.12
Barrere G.,Hurkacz H.,2.78:1.43
Herbert P.H.,Struff J.L.,2.79:1.43
Gasquet R.,Granollers M.,1.38:3.01
Sonego L.,Otte O.,1.32:3.33
Tsonga J.W.,Andujar P.,1.18:4.86
Carreno Busta P.,Lenz J.,1.24:3.97
Bedene A.,Roumane R.,1.35:3.15
Simon G.,Copil M.,1.45:2.7
Maden Y.,Humbert U.,3.58:1.29
Barrere G.,Hoang A.,1.64:2.23
Paire B.,Gasquet R.,2.37:1.58
Krajinovic F.,Verdasco F.,1.92:1.87
Bedene A.,Simon G.,2.33:1.59
Carreno Busta P.,Goffin D.,2.53:1.51
Pouille L.,Sonego L.,1.75:2.06
Tsonga J.W.,Herbert P.H.,1.36:3.09
Basilashvili N.,Maden Y.,1.58:2.36
Bedene A.,Carreno Busta P.,2.58:1.5
Paire B.,Barrere G.,1.56:2.43
Pouille L.,Krajinovic F.,1.66:2.22
Tsonga J.W.,Basilashvili N.,1.5:2.59
Bedene A.,Paire B.,1.86:1.93
Tsonga J.W.,Pouille L.,1.67:2.2
Tsonga J.W.,Bedene A.,1.38:3.03
Mannarino A.,Travaglia S.,1.46:2.67
Kukushkin M.,Sinner J.,1.61:2.31
Dzumhur D.,Tipsarevic J.,1.37:3.07
Carballes Baena R.,Klizan M.,2.05:1.76
Gerasimov E.,Rosol L.,1.48:2.63
Donskoy E.,Viola M.,1.3:3.44
Berankis R.,Sela D.,1.32:3.33
Rublev A.,Ivashka I.,1.34:3.2
Sousa J.,Kovalik J.,1.3:3.46
Fucsovics M.,Vatutin A.,1.42:2.83
Caruso S.,Fabbiano T.,2.3:1.61
Ruud C.,Bublik A.,2.02:1.79
Kukushkin M.,Dzumhur D.,1.62:2.29
Gerasimov E.,Mannarino A.,2.16:1.69
Coric B.,Fucsovics M.,1.7:2.15
Ruud C.,Caruso S.,1.44:2.75
Berrettini M.,Carballes Baena R.,1.22:4.24
Sousa J.,Khachanov K.,3.03:1.38
Medvedev D.,Donskoy E.,1.1:6.82
Rublev A.,Berankis R.,1.44:2.76
Coric B.,Ruud C.,1.59:2.35
Sousa J.,Kukushkin M.,1.83:1.97
Gerasimov E.,Berrettini M.,3.56:1.29
Medvedev D.,Rublev A.,1.24:4.01
Coric B.,Sousa J.,1.82:1.99
Medvedev D.,Gerasimov E.,1.14:5.61
Medvedev D.,Coric B.,1.2:4.54
Garin C.,Edmund K.,2.97:1.39
Klahn B.,Jung J.,1.55:2.42
Evans D.,Bai Y.,1.14:5.46
Carreno Busta P.,Albot R.,1.54:2.42
Lajovic D.,Londero J.I.,1.67:2.19
Verdasco F.,Popyrin A.,1.73:2.1
Harris L.,Fucsovics M.,nan:nan
Gerasimov E.,Li Z.,1.28:3.61
Sousa J.,Chung H.,2.48:1.54
Thompson J.,Pospisil V.,1.72:2.1
Bublik A.,Fritz T.,3.15:1.35
Shapovalov D.,Berankis R.,1.38:3.03
Dimitrov G.,Evans D.,1.5:2.56
Carreno Busta P.,Paire B.,1.49:2.58
Garin C.,Verdasco F.,2.47:1.54
Shapovalov D.,Klahn B.,1.25:3.9
Sousa J.,Auger-Aliassime F.,2.03:1.78
Bublik A.,Thompson J.,2.37:1.57
Harris L.,Lajovic D.,2.29:1.62
Gerasimov E.,Isner J.,2.52:1.52
Bublik A.,Dimitrov G.,3.59:1.29
Harris L.,Sousa J.,2.62:1.49
Shapovalov D.,Gerasimov E.,1.5:2.59
Carreno Busta P.,Garin C.,1.43:2.81
Bublik A.,Harris L.,1.76:2.05
Carreno Busta P.,Shapovalov D.,2.04:1.78
Carreno Busta P.,Bublik A.,1.4:2.94
Norrie C.,Gojowczyk P.,1.51:2.53
Ramos-Vinolas A.,Nishioka Y.,2.54:1.52
Wu D.,Ito T.,2.4:1.57
Mannarino A.,Zhang Ze.,1.31:3.43
Andujar P.,Johnson S.,2.32:1.6
Kecmanovic M.,Ruud C.,1.67:2.19
Zhang Zh.,Koepfer D.,3.43:1.31
Dzumhur D.,Cecchinato M.,1.42:2.84
De Minaur A.,Millman J.,1.48:2.64
Murray A.,Sandgren T.,1.66:2.2
Kwon S.W.,Pouille L.,2.34:1.59
Seppi A.,Kyrgios N.,2.49:1.53
Ramos-Vinolas A.,Kecmanovic M.,2.28:1.62
Monfils G.,Norrie C.,1.29:3.52
Seppi A.,Zhang Zh.,1.37:3.14
Dzumhur D.,Kwon S.W.,2.27:1.63
Bautista Agut R.,Andujar P.,1.24:4.06
Mannarino A.,Tsitsipas S.,3.42:1.31
Coric B.,Wu D.,1.17:5.09
De Minaur A.,Murray A.,1.38:3.03
Ramos-Vinolas A.,Monfils G.,3.33:1.33
Mannarino A.,Dzumhur D.,1.87:1.94
Bautista Agut R.,Seppi A.,1.22:4.3
De Minaur A.,Coric B.,1.7:2.15
Mannarino A.,Ramos-Vinolas A.,1.93:1.87
De Minaur A.,Bautista Agut R.,2.31:1.61
De Minaur A.,Mannarino A.,1.28:3.64
Rublev A.,Dimitrov G.,1.93:1.87
Khachanov K.,Cuevas P.,1.51:2.55
Chardy J.,Cecchinato M.,1.32:3.35
Zhang Zh.,Edmund K.,3.15:1.35
Evans D.,Li Z.,1.12:6.31
Zverev A.,Tiafoe F.,1.41:2.9
Norrie C.,Garin C.,1.72:2.11
Auger-Aliassime F.,Ramos-Vinolas A.,1.6:2.31
Isner J.,Monfils G.,2.21:1.65
Murray A.,Berrettini M.,2.47:1.53
Fognini F.,Kukushkin M.,1.68:2.16
Basilashvili N.,Pella G.,1.61:2.3
Thiem D.,Gasquet R.,1.42:2.84
Tsitsipas S.,Lajovic D.,1.27:3.76
Querrey S.,Bautista Agut R.,3.58:1.28
Schwartzman D.,Verdasco F.,1.43:2.79
Murray A.,Norrie C.,1.46:2.71
Khachanov K.,Chardy J.,1.31:3.45
Fognini F.,Rublev A.,2.88:1.41
Thiem D.,Zhang Zh.,1.13:5.9
Isner J.,Evans D.,1.57:2.38
Tsitsipas S.,Basilashvili N.,1.5:2.59
Querrey S.,Schwartzman D.,2.49:1.53
Zverev A.,Auger-Aliassime F.,1.4:2.92
Khachanov K.,Fognini F.,1.57:2.41
Thiem D.,Murray A.,1.41:2.91
Tsitsipas S.,Isner J.,1.78:2.03
Zverev A.,Querrey S.,1.31:3.49
Thiem D.,Khachanov K.,1.56:2.43
Tsitsipas S.,Zverev A.,2.16:1.7
Thiem D.,Tsitsipas S.,1.85:1.95
Soeda G.,Struff J.L.,3.67:1.28
Pouille L.,Hurkacz H.,1.86:1.93
Cilic M.,Sugita Y.,1.21:4.36
Nishioka Y.,Sousa J.,1.78:2.03
Chung H.,Sonego L.,1.59:2.34
Uchiyama Y.,Paire B.,2.0:1.8
Opelka R.,Fritz T.,2.33:1.6
Daniel T.,Coric B.,4.88:1.18
Simon G.,Andujar P.,1.94:1.85
Albot R.,Krajinovic F.,2.21:1.66
Djokovic N.,Popyrin A.,1.09:7.27
Thompson J.,Londero J.I.,1.47:2.65
Shapovalov D.,Kecmanovic M.,1.42:2.85
Goffin D.,Carreno Busta P.,1.62:2.29
Millman J.,Mannarino A.,1.71:2.13
Harris L.,De Minaur A.,4.77:1.18
Uchiyama Y.,Albot R.,2.19:1.67
Djokovic N.,Soeda G.,1.03:13.19
Opelka R.,Simon G.,1.81:1.99
Pouille L.,Nishioka Y.,1.77:2.03
Daniel T.,Thompson J.,2.43:1.55
Millman J.,Harris L.,1.54:2.45
Goffin D.,Shapovalov D.,1.78:2.02
Chung H.,Cilic M.,2.63:1.48
Opelka R.,Uchiyama Y.,1.51:2.55
Millman J.,Daniel T.,1.38:3.04
Djokovic N.,Pouille L.,1.11:6.46
Goffin D.,Chung H.,1.48:2.63
Millman J.,Opelka R.,2.02:1.8
Djokovic N.,Goffin D.,1.13:5.95
Djokovic N.,Millman J.,1.04:11.69
Basilashvili N.,Albot R.,1.62:2.29
Sousa J.,Krajinovic F.,1.94:1.86
Fritz T.,Verdasco F.,1.83:1.97
Hurkacz H.,Zhang Zh.,1.31:3.46
Norrie C.,Simon G.,1.89:1.9
Ramos-Vinolas A.,Cilic M.,3.08:1.37
Shapovalov D.,Tiafoe F.,1.51:2.55
Fognini F.,Querrey S.,2.05:1.77
Pospisil V.,Schwartzman D.,3.16:1.35
Paire B.,Cecchinato M.,1.67:2.19
Garin C.,Cuevas P.,2.11:1.72
Chardy J.,Edmund K.,1.91:1.89
Monfils G.,Sonego L.,1.29:3.61
Murray A.,Londero J.I.,1.29:3.56
Kukushkin M.,Kecmanovic M.,2.12:1.71
Carreno Busta P.,Zhang Ze.,1.1:7.11
Pouille L.,Li Z.,1.1:6.83
Opelka R.,Lajovic D.,1.5:2.59
Rublev A.,Coric B.,1.66:2.21
Isner J.,De Minaur A.,2.02:1.79
Millman J.,Pella G.,1.75:2.07
Berrettini M.,Struff J.L.,1.51:2.55
Auger-Aliassime F.,Bublik A.,1.72:2.12
Goffin D.,Gasquet R.,1.34:3.22
Basilashvili N.,Paire B.,1.7:2.14
Hurkacz H.,Monfils G.,2.89:1.41
Federer R.,Ramos-Vinolas A.,1.09:7.52
Pospisil V.,Sousa J.,1.79:2.01
Fognini F.,Murray A.,1.72:2.11
Medvedev D.,Norrie C.,1.12:6.18
Tsitsipas S.,Auger-Aliassime F.,1.41:2.88
Berrettini M.,Garin C.,1.24:4.11
Isner J.,Pouille L.,1.46:2.71
Bautista Agut R.,Opelka R.,1.62:2.29
Khachanov K.,Fritz T.,1.48:2.65
Zverev A.,Chardy J.,1.26:3.87
Rublev A.,Millman J.,1.47:2.66
Goffin D.,Kukushkin M.,1.23:4.12
Djokovic N.,Shapovalov D.,1.08:7.82
Thiem D.,Carreno Busta P.,1.43:2.82
Fognini F.,Khachanov K.,2.8:1.43
Medvedev D.,Pospisil V.,1.08:7.91
Berrettini M.,Bautista Agut R.,1.71:2.14
Djokovic N.,Isner J.,1.09:7.7
Tsitsipas S.,Hurkacz H.,1.38:3.04
Federer R.,Goffin D.,1.22:4.34
Thiem D.,Basilashvili N.,1.24:4.1
Zverev A.,Rublev A.,1.57:2.41
Medvedev D.,Fognini F.,1.21:4.42
Tsitsipas S.,Djokovic N.,6.57:1.11
Zverev A.,Federer R.,2.85:1.43
Berrettini M.,Thiem D.,2.35:1.6
Medvedev D.,Tsitsipas S.,1.4:2.97
Zverev A.,Berrettini M.,1.6:2.35
Medvedev D.,Zverev A.,1.54:2.49
Pella G.,Gojowczyk P.,1.55:2.44
Tsonga J.W.,Sonego L.,1.33:3.31
Struff J.L.,Barrere G.,1.56:2.4
Lopez F.,Norrie C.,2.31:1.6
Copil M.,Delbonis F.,1.33:3.28
Kwon S.W.,Gasquet R.,2.32:1.6
Sinner J.,Majchrzak K.,1.87:1.92
Simon G.,Darcis S.,1.26:3.79
Murray A.,Coppejans K.,1.07:8.7
Humbert U.,Kovalik J.,1.25:3.92
Tiafoe F.,Maden Y.,1.75:2.06
Cuevas P.,Dellien H.,1.23:4.13
Pella G.,Kwon S.W.,1.82:1.98
Simon G.,Tsonga J.W.,3.43:1.31
Wawrinka S.,Lopez F.,1.41:2.89
Tiafoe F.,Struff J.L.,2.32:1.6
Copil M.,Schwartzman D.,2.92:1.4
Sinner J.,Monfils G.,3.19:1.35
Murray A.,Cuevas P.,1.3:3.48
Humbert U.,Goffin D.,3.59:1.29
Sinner J.,Tiafoe F.,1.97:1.83
Wawrinka S.,Simon G.,1.51:2.54
Murray A.,Copil M.,1.25:3.92
Humbert U.,Pella G.,1.64:2.26
Wawrinka S.,Sinner J.,1.41:2.88
Murray A.,Humbert U.,1.46:2.71
Murray A.,Wawrinka S.,2.52:1.52
Seppi A.,Garin C.,1.86:1.93
Rosol L.,Londero J.I.,2.21:1.66
Mannarino A.,Dzumhur D.,1.73:2.09
Carballes Baena R.,Berankis R.,3.32:1.32
Kecmanovic M.,Dubrivnyy A.,1.2:4.55
Kukushkin M.,Donskoy E.,1.53:2.48
Kohlschreiber P.,Herbert P.H.,1.63:2.25
Chardy J.,Jarry N.,1.4:2.92
Karlovic I.,Bedene A.,3.28:1.33
Rublev A.,Bublik A.,1.33:3.27
Gerasimov E.,Fabbiano T.,1.27:3.69
Avidzba A.,Kachmazov A.,1.34:3.25
Seppi A.,Carballes Baena R.,1.41:2.88
Mannarino A.,Kukushkin M.,1.6:2.31
Lajovic D.,Rosol L.,1.65:2.22
Khachanov K.,Kohlschreiber P.,1.33:3.26
Milojevic N.,Avidzba A.,1.26:3.84
Rublev A.,Gerasimov E.,1.46:2.69
Chardy J.,Kecmanovic M.,1.67:2.18
Cilic M.,Karlovic I.,1.31:3.39
Mannarino A.,Lajovic D.,1.59:2.35
Seppi A.,Khachanov K.,3.6:1.29
Cilic M.,Chardy J.,1.76:2.06
Rublev A.,Milojevic N.,1.06:9.04
Mannarino A.,Seppi A.,1.59:2.35
Rublev A.,Cilic M.,1.6:2.33
Rublev A.,Mannarino A.,1.43:2.81
Travaglia S.,Opelka R.,3.23:1.34
Evans D.,Tomic B.,1.21:4.39
Tipsarevic J.,Moutet C.,2.86:1.41
Nishioka Y.,Albot R.,2.09:1.74
Carreno Busta P.,Millman J.,1.65:2.23
Mager G.,Andujar P.,2.42:1.57
Querrey S.,Novak D.,1.52:2.51
Stebe C.M.,Schnur B.,1.35:3.19
Sugita Y.,Ymer E.,1.75:2.06
Popyrin A.,Otte O.,1.4:2.94
Krajinovic F.,Ruud C.,1.48:2.63
Ymer M.,Sousa J.,1.54:2.45
Nishioka Y.,Fritz T.,2.25:1.63
Querrey S.,Dimitrov G.,2.49:1.53
Krajinovic F.,Evans D.,1.79:2.01
Carreno Busta P.,Mager G.,1.11:6.51
Sugita Y.,Travaglia S.,2.05:1.76
Tipsarevic J.,Fognini F.,3.76:1.27
Shapovalov D.,Popyrin A.,1.4:2.9
Stebe C.M.,Ymer M.,3.72:1.27
Krajinovic F.,Nishioka Y.,1.62:2.28
Carreno Busta P.,Querrey S.,1.75:2.07
Shapovalov D.,Stebe C.M.,1.23:4.21
Sugita Y.,Tipsarevic J.,1.95:1.85
Krajinovic F.,Carreno Busta P.,2.22:1.66
Shapovalov D.,Sugita Y.,1.11:7.01
Shapovalov D.,Krajinovic F.,1.53:2.49
Struff J.L.,Kecmanovic M.,1.57:2.38
Federer R.,Gojowczyk P.,1.03:12.78
De Minaur A.,Dellien H.,1.07:8.31
Laaksonen H.,Paire B.,2.34:1.59
Albot R.,Lajovic D.,1.75:2.06
Opelka R.,Garin C.,1.42:2.81
Fognini F.,Popyrin A.,1.97:1.82
Fritz T.,Zverev A.,4.03:1.24
Gasquet R.,Londero J.I.,1.48:2.62
Tsitsipas S.,Ramos-Vinolas A.,1.15:5.45
Bautista Agut R.,Copil M.,1.29:3.61
Berankis R.,Andujar P.,1.41:2.89
Krajinovic F.,Djere L.,1.16:5.32
Goffin D.,Cilic M.,1.53:2.49
Wawrinka S.,Cuevas P.,1.22:4.19
Tiafoe F.,Evans D.,2.22:1.66
Federer R.,Albot R.,1.02:14.1
De Minaur A.,Fritz T.,1.59:2.34
Struff J.L.,Laaksonen H.,1.31:3.4
Opelka R.,Goffin D.,3.3:1.33
Bautista Agut R.,Gasquet R.,1.38:3.04
Tsitsipas S.,Berankis R.,1.17:5.04
Wawrinka S.,Tiafoe F.,1.3:3.52
Krajinovic F.,Fognini F.,1.74:2.09
Opelka R.,Bautista Agut R.,2.7:1.46
De Minaur A.,Struff J.L.,1.48:2.65
Federer R.,Wawrinka S.,1.18:4.88
Tsitsipas S.,Krajinovic F.,1.41:2.91
De Minaur A.,Opelka R.,1.5:2.6
Federer R.,Tsitsipas S.,1.28:3.7
Federer R.,De Minaur A.,1.1:6.88
Schwartzman D.,Herbert P.H.,1.37:3.1
Fucsovics M.,Sonego L.,1.59:2.35
Berrettini M.,Edmund K.,1.3:3.49
Dimitrov G.,Dzumhur D.,1.35:3.2
Khachanov K.,Hurkacz H.,1.56:2.4
Simon G.,Lopez F.,1.6:2.31
Bedene A.,Pella G.,1.64:2.25
Chung H.,Raonic M.,2.43:1.56
Verdasco F.,Basilashvili N.,2.3:1.61
Thiem D.,Tsonga J.W.,1.46:2.69
Sinner J.,Kohlschreiber P.,2.11:1.72
Carreno Busta P.,Shapovalov D.,2.31:1.61
Querrey S.,Mannarino A.,1.65:2.23
Rublev A.,Bublik A.,1.37:3.09
Kukushkin M.,Coric B.,2.26:1.63
Monfils G.,Novak D.,1.24:4.02
Berrettini M.,Dimitrov G.,1.68:2.18
Khachanov K.,Fucsovics M.,1.39:2.96
Schwartzman D.,Querrey S.,1.75:2.07
Carreno Busta P.,Kukushkin M.,1.43:2.83
Rublev A.,Chung H.,1.54:2.47
Bedene A.,Simon G.,1.62:2.27
Thiem D.,Verdasco F.,1.25:3.97
Monfils G.,Sinner J.,1.86:1.94
Berrettini M.,Rublev A.,1.65:2.24
Thiem D.,Carreno Busta P.,1.27:3.81
Schwartzman D.,Khachanov K.,2.33:1.6
Monfils G.,Bedene A.,1.66:2.21
Thiem D.,Berrettini M.,1.62:2.3
Schwartzman D.,Monfils G.,2.13:1.72
Thiem D.,Schwartzman D.,1.29:3.63
Albot R.,Basilashvili N.,2.39:1.57
Cilic M.,Hurkacz H.,1.55:2.47
Struff J.L.,Nishioka Y.,1.54:2.48
Verdasco F.,Coric B.,2.04:1.77
Raonic M.,Norrie C.,1.58:2.39
Chardy J.,Querrey S.,2.01:1.8
Garin C.,Cuevas P.,1.59:2.36
Paire B.,Dzumhur D.,1.7:2.16
Tsonga J.W.,Rublev A.,2.0:1.8
Mannarino A.,Ruud C.,1.42:2.87
Moutet C.,Lajovic D.,1.81:2.0
Fritz T.,Tiafoe F.,2.04:1.77
De Minaur A.,Djere L.,1.09:7.62
Edmund K.,Berankis R.,1.8:2.0
Shapovalov D.,Simon G.,1.45:2.74
Dimitrov G.,Humbert U.,1.6:2.34
Struff J.L.,Khachanov K.,2.46:1.55
Albot R.,Seppi A.,1.83:1.98
Chardy J.,Medvedev D.,5.5:1.15
Zverev A.,Verdasco F.,1.32:3.36
Thiem D.,Raonic M.,1.54:2.47
Shapovalov D.,Fognini F.,1.44:2.78
Garin C.,Isner J.,2.54:1.51
Tsitsipas S.,Fritz T.,1.29:3.63
Dimitrov G.,Goffin D.,2.06:1.76
De Minaur A.,Bautista Agut R.,1.79:2.02
Monfils G.,Paire B.,1.39:2.98
Wawrinka S.,Cilic M.,1.58:2.38
Djokovic N.,Moutet C.,1.01:16.88
Edmund K.,Schwartzman D.,2.47:1.54
Nadal R.,Mannarino A.,1.1:6.87
Tsonga J.W.,Berrettini M.,2.4:1.57
Garin C.,Chardy J.,2.5:1.54
