Winner,Loser,Odds
Tsonga J.W.,Albot R.,1.21:4.43
Tsonga J.W.,Herbert P.H.,1.57:2.42
Ebden M.,Andreev A.,1.04:12.0
Copil M.,Wawrinka S.,2.46:1.55
Brands D.,Basilashvili N.,3.64:1.29
Maden Y.,Mannarino A.,2.1:1.74
Struff J.L.,Travaglia S.,1.44:2.78
Berrettini M.,Istomin D.,1.56:2.43
Haase R.,Kuzmanov D.,1.15:5.4
Monfils G.,Troicki V.,1.25:3.93
Klizan M.,Basic M.,1.43:2.83
Kukushkin M.,Djere L.,1.29:3.56
Verdasco F.,Lazarov A.,1.04:10.98
Fucsovics M.,Seppi A.,2.02:1.79
Bautista Agut R.,Ebden M.,1.14:5.71
Berrettini M.,Khachanov K.,3.6:1.29
Klizan M.,Brands D.,1.44:2.8
Fucsovics M.,Maden Y.,1.37:3.07
Verdasco F.,Copil M.,1.63:2.28
Medvedev D.,Haase R.,1.24:4.04
Monfils G.,Kukushkin M.,1.4:2.94
Tsitsipas S.,Struff J.L.,1.48:2.64
Fucsovics M.,Bautista Agut R.,3.85:1.27
Berrettini M.,Verdasco F.,2.34:1.61
Medvedev D.,Klizan M.,1.26:3.87
Monfils G.,Tsitsipas S.,2.13:1.72
Fucsovics M.,Berrettini M.,2.27:1.64
Medvedev D.,Monfils G.,1.68:2.2
Medvedev D.,Fucsovics M.,1.16:5.35
Sonego L.,Jarry N.,2.34:1.6
Ramos-Vinolas A.,Dutra Silva R.,1.72:2.12
Marterer M.,Bagnis F.,1.85:1.96
Garin C.,Auger-Aliassime F.,1.89:1.92
Cuevas P.,Arevalo M.,1.19:4.69
Carballes Baena R.,Daniel T.,1.69:2.16
Mayer L.,Lajovic D.,1.71:2.15
Bedene A.,Andreozzi G.,1.41:2.92
Pella G.,Cerundolo F.,1.16:5.19
Munar J.,Delbonis F.,1.97:1.84
Sousa J.,Londero J.I.,1.58:2.39
Ferrer D.,Jaziri M.,1.42:2.87
Carballes Baena R.,Sonego L.,1.87:1.93
Pella G.,Mayer L.,1.89:1.92
