name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gonzalez F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Gonzalez M.,1000,1001,389,481,124,332,554,404,410,105,20,0,0
Gonzalez S.,1000,1001,185,45,0,0,6,0,0,0,0,0,0
Goodall J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Granollers G.,1000,1001,102,209,146,215,137,163,62,106,25,29,17
Granollers M.,1000,1001,993,1335,1100,1110,860,645,1136,298,598,497,367
Granollers Pujol G.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Granollers-Pujol G.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Gray A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Gremelmayr D.,1000,1001,469,262,56,2,0,0,0,0,0,0,0
Grenier H.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Greul S.,1000,1001,428,336,374,231,0,0,0,0,0,0,0
Griekspoor T.,1000,1001,0,0,0,0,4,54,134,223,231,288,423
Grigelis L.,1000,1001,99,248,90,179,132,167,192,179,158,81,90
Grosjean S.,1000,1001,20,0,0,0,0,0,0,0,0,0,0
Groth S.,1000,1001,180,16,220,307,625,782,320,209,0,0,0
Guccione C.,1000,1001,108,185,47,65,12,0,0,0,0,0,0
Guez D.,1000,1001,316,250,218,286,233,306,102,172,127,0,0
Gulbis E.,1001,1591,1505,785,404,1393,2455,655,406,258,611,216,351
Gunneswaran P.,1000,1001,0,0,12,74,3,81,148,215,538,442,506
Gutierrez-Ferrol S.,1000,1001,175,36,294,13,2,1,0,103,351,25,25
Haas T.,1000,1001,110,237,1695,2435,675,83,0,205,0,0,0
Haase R.,14644,19791,778,926,780,977,620,740,795,1130,965,316,330
Haider-Maurer A.,1000,1001,476,456,504,506,621,775,0,81,38,0,0
Hajek J.,1000,1001,570,376,527,540,108,0,0,0,0,0,0
Hajji A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Halebian A.,1000,1001,1,3,5,19,14,50,31,49,17,1,0
Halys Q.,1000,1001,0,0,6,31,42,244,399,436,444,222,310
Hamou M.,1000,1001,0,0,4,15,129,140,153,133,5,111,113
Hanescu V.,1000,1001,915,600,753,636,455,183,10,0,0,0,0
Hanfmann Y.,1000,1001,9,3,1,5,18,43,152,499,354,294,728
Hank T.,1000,1001,5,0,2,39,59,90,9,11,20,20,21
Harris A.,1000,1001,0,3,5,47,39,40,0,83,86,318,251
Harris L.,2359,25192,0,0,0,0,1,126,176,170,520,576,793
Harrison C.,1000,1001,0,9,67,88,0,0,79,209,200,30,22
Harrison R.,21375,18521,309,658,710,549,261,528,632,1010,810,131,73
Hemery C.,1000,1001,0,0,0,42,63,231,170,347,228,83,76
Herbert P.H.,74265,107810,63,115,185,344,511,313,698,652,903,865,812
Hernandez O.,1000,1001,220,0,0,2,20,0,0,0,0,0,0
Hernandez-Fernandez J.,1000,1001,0,0,48,149,183,210,216,173,150,144,142
Hernych J.,1000,1001,196,303,245,216,244,175,98,1,0,0,0
