Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Australian Open,1/16/2019,Khachanov K.,Nishioka Y.,1.22,4.36,2nd Round,3.0,0.0,2019
Australian Open,1/16/2019,Fabbiano T.,Opelka R.,3.25,1.35,2nd Round,3.0,2.0,2019
Australian Open,1/16/2019,Bautista Agut R.,Millman J.,1.32,3.46,2nd Round,3.0,2.0,2019
Australian Open,1/16/2019,Dimitrov G.,Cuevas P.,1.13,6.03,2nd Round,3.0,1.0,2019
Australian Open,1/16/2019,De Minaur A.,Laaksonen H.,1.05,10.7,2nd Round,3.0,2.0,2019
Australian Open,1/16/2019,Nadal R.,Ebden M.,1.06,9.92,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Nishikori K.,Karlovic I.,1.16,5.25,2nd Round,3.0,2.0,2019
Australian Open,1/17/2019,Raonic M.,Wawrinka S.,1.29,3.64,2nd Round,3.0,1.0,2019
Australian Open,1/17/2019,Sousa J.,Kohlschreiber P.,2.95,1.41,2nd Round,3.0,2.0,2019
Australian Open,1/17/2019,Carreno Busta P.,Ivashka I.,1.63,2.3,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Coric B.,Fucsovics M.,1.29,3.69,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Fognini F.,Mayer L.,1.6,2.37,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Herbert P.H.,Chung H.,2.28,1.65,2nd Round,3.0,1.0,2019
Australian Open,1/17/2019,Krajinovic F.,Donskoy E.,1.39,3.05,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Goffin D.,Copil M.,1.22,4.46,2nd Round,3.0,1.0,2019
Australian Open,1/17/2019,Bolt A.,Simon G.,5.94,1.14,2nd Round,3.0,2.0,2019
Australian Open,1/17/2019,Pouille L.,Marterer M.,1.73,2.14,2nd Round,3.0,1.0,2019
Australian Open,1/17/2019,Shapovalov D.,Daniel T.,1.15,5.59,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Popyrin A.,Thiem D.,5.04,1.18,2nd Round,2.0,0.0,2019
Australian Open,1/17/2019,Medvedev D.,Harrison R.,1.2,4.66,2nd Round,3.0,0.0,2019
Australian Open,1/17/2019,Zverev A.,Chardy J.,1.12,6.58,2nd Round,3.0,2.0,2019
Australian Open,1/17/2019,Djokovic N.,Tsonga J.W.,1.06,9.59,2nd Round,3.0,0.0,2019
Australian Open,1/18/2019,Tsitsipas S.,Basilashvili N.,1.35,3.27,3rd Round,3.0,1.0,2019
Australian Open,1/18/2019,Berdych T.,Schwartzman D.,1.26,4.04,3rd Round,3.0,1.0,2019
Australian Open,1/18/2019,Federer R.,Fritz T.,1.05,10.47,3rd Round,3.0,0.0,2019
Australian Open,1/18/2019,Tiafoe F.,Seppi A.,2.03,1.81,3rd Round,3.0,2.0,2019
Australian Open,1/18/2019,Dimitrov G.,Fabbiano T.,1.07,9.13,3rd Round,3.0,0.0,2019
Australian Open,1/18/2019,Bautista Agut R.,Khachanov K.,2.6,1.51,3rd Round,3.0,0.0,2019
Australian Open,1/18/2019,Nadal R.,De Minaur A.,1.1,7.13,3rd Round,3.0,0.0,2019
Australian Open,1/18/2019,Cilic M.,Verdasco F.,1.3,3.63,3rd Round,3.0,2.0,2019
Australian Open,1/19/2019,Medvedev D.,Goffin D.,1.59,2.39,3rd Round,3.0,0.0,2019
Australian Open,1/19/2019,Nishikori K.,Sousa J.,1.15,5.67,3rd Round,3.0,0.0,2019
Australian Open,1/19/2019,Carreno Busta P.,Fognini F.,2.08,1.77,3rd Round,3.0,1.0,2019
Australian Open,1/19/2019,Raonic M.,Herbert P.H.,1.17,5.28,3rd Round,3.0,0.0,2019
Australian Open,1/19/2019,Djokovic N.,Shapovalov D.,1.04,11.58,3rd Round,3.0,1.0,2019
Australian Open,1/19/2019,Coric B.,Krajinovic F.,1.16,5.44,3rd Round,3.0,1.0,2019
Australian Open,1/19/2019,Zverev A.,Bolt A.,1.05,10.63,3rd Round,3.0,0.0,2019
Australian Open,1/19/2019,Pouille L.,Popyrin A.,1.49,2.67,3rd Round,3.0,2.0,2019
