name,hand,date_of_birth,country,height
Purcell M.,R,19590718,USA,178
Querrey S.,R,19871007,USA,198
Quigley E.,U,19890130,USA,177
Quinzi G.,L,19960201,ITA,177
Quiroz R.,L,19920223,ECU,193
Rachidi Y.,R,19860913,MAR,177
Ram R.,R,19840318,USA,193
Ramanathan R.,R,19941108,IND,188
Ramirez C.,R,19900125,MEX,180
Ramirez-Hidalgo R.,R,19530620,MEX,183
Ramos A.,L,19880117,ESP,188
Ramos-Vinolas A.,L,19880117,ESP,188
Raonic M.,R,19901227,CAN,196
Recouderc L.,R,19840710,FRA,178
Reid M.,R,19900717,AUS,177
Reinberg E.,R,19970420,USA,177
Reister J.,R,19860402,GER,188
Reix C.,U,19831009,FRA,177
Renavand N.,R,19820625,FRA,177
Reyes-Varela M.A.,R,19870621,MEX,175
Reynolds B.,R,19820717,USA,183
Riba P.,R,19880407,ESP,183
Riba-Madrid P.,R,19880407,ESP,183
Riedi L.,R,20020127,SUI,191
Rieschick S.,R,19860215,GER,177
Riffice S.,U,19990301,USA,177
Rinderknech A.,R,19950723,FRA,177
Rios F.,R,19920304,CHI,177
Robert S.,R,19800517,FRA,185
Robredo T.,R,19820501,ESP,180
Roca Batalla O.,R,19930430,ESP,177
Rochus C.,R,19781215,BEL,170
Rochus O.,R,19810118,BEL,168
Roddick A.,R,19820830,USA,188
Rodionov J.,L,19990516,AUT,177
Rodrigues M.,R,19851107,FRA,177
Roger-Vasselin E.,R,19831128,FRA,188
Rola B.,L,19901005,SLO,193
Romboli F.,R,19890104,BRA,180
Rosenholm P.,R,19880305,SWE,177
Rosol L.,R,19850724,CZE,196
Roumane R.,R,20000911,FRA,177
Rubin N.,R,19960221,USA,177
Rublev A.,R,19971020,RUS,188
Rufin G.,R,19900526,FRA,188
Rune H.,R,20030429,DEN,177
Russell M.,R,19780501,USA,173
Ruud C.,R,19720824,NOR,188
Ruusuvuori E.,R,19990402,FIN,188
Ryderstedt M.,L,19841112,SWE,188
Saavedra Corvalan C.,R,19900801,CHI,177
Sabry S.,U,19860829,EGY,177
Sachko V.,R,19970714,UKR,177
Sadecky A.,L,19870706,SUI,193
Safiullin R.,R,19970807,RUS,177
Safranek V.,R,19940520,CZE,177
Safwat M.,R,19900919,EGY,183
Sakamoto P.,R,19930629,BRA,177
Sakharov G.,R,19880610,FRA,177
Salamanca C.,L,19830115,COL,196
Samper-Montana J.,U,19900405,ESP,177
Sanchez M.,R,19780703,MEX,177
Sandgren T.,R,19910722,USA,188
Santillan A.,R,19970522,AUS,177
Santoro F.,R,19721209,FRA,178
Sarkissian A.,R,19900403,USA,177
Sarmiento R.,R,19920724,USA,177
Satral J.,R,19900724,CZE,177
Saville L.,R,19940201,AUS,177
Schnur B.,R,19950704,CAN,177
Scholtz N.,R,19910205,RSA,177
Schoolkate T.,R,20010226,AUS,177
Schoorel T.,L,19890408,NED,203
Schuettler R.,R,19760425,GER,180
Schukin Y.,R,19790626,KAZ,188
Schwank E.,R,19860423,ARG,183
Schwartzman D.,R,19920816,ARG,170
Sekulic M.,R,19891104,SWE,177
Sela D.,R,19850404,ISR,175
Seppi A.,R,19840221,ITA,190
Serdarusic N.,U,19961213,CRO,177
Sergeyev I.,R,19880120,UKR,175
Serra F.,R,19810228,FRA,180
Setkic A.,R,19871221,BIH,193
Seyboth Wild T.,R,20000310,BRA,177
Shane R.,U,19940415,USA,177
