nome,mao_dominante,data_de_nascimento,local,altura
Fognini F.,R,19870524,ITA,178
Schepper K.,L,19870529,FRA,203
Desein N.,R,19870609,BEL,190
Mcgee J.,R,19870610,IRL,183
Ilhan M.,R,19870611,TUR,190
Jelenic P.,R,19870613,CRO,180
Fidirko N.,R,19870615,BLR,180
Ball C.,L,19870620,AUS,198
Varela M.,R,19870621,MEX,175
Mertens Y.,R,19870625,BEL,180
Cervenak P.,R,19870701,SVK,191
Sadecky A.,L,19870706,SUI,193
Strode B.,R,19870709,USA,188
Kirillov E.,R,19870714,RUS,180
Sweeting R.,R,19870714,USA,196
Brands D.,R,19870717,GER,196
Golubev A.,R,19870722,KAZ,185
Vardhan V.,R,19870727,IND,188
Vaisse M.,U,19870811,FRA,180
Sijsling I.,R,19870818,NED,190
Zverev M.,L,19870822,GER,190
Lee D.,U,19870823,KOR,180
Gong M.,R,19870824,CHN,178
Kutrovsky D.,R,19870827,BUL,180
Marchenko I.,R,19870908,UKR,185
Skugor F.,R,19870920,CRO,193
Querrey S.,R,19871007,USA,198
Niki T.,U,19871012,JPN,180
Betov S.,R,19871015,BLR,180
Venus M.,R,19871016,NZL,191
Myneni S.,R,19871019,IND,193
Groth S.,R,19871019,AUS,193
Lacko L.,R,19871103,SVK,185
Puetz T.,R,19871119,GER,180
Ebden M.,R,19871126,AUS,188
Giraldo S.,R,19871127,COL,188
Takeuchi K.,L,19871219,JPN,180
Setkic A.,R,19871221,BIH,193
Kukushkin M.,R,19871226,KAZ,183
Arnaboldi A.,L,19871227,ITA,180
Bellucci T.,L,19871230,BRA,188
Smyczek T.,R,19871230,USA,175
Podlipnik H.,R,19880109,CHI,183
Singh S.,R,19880111,IND,173
Bemelmans R.,L,19880114,BEL,183
Ramos A.,L,19880117,ESP,188
Sergeyev I.,R,19880120,UKR,175
Lemke J.,R,19880125,AUS,180
Torebko P.,R,19880210,GER,180
Korolev E.,R,19880214,KAZ,185
Sidorenko A.,R,19880218,FRA,180
Veic A.,R,19880218,CRO,180
Corrie E.,U,19880221,GBR,180
Davi A.,U,19880227,ESP,180
Rosenholm P.,R,19880305,SWE,180
Lojda D.,L,19880308,CZE,180
Molteni A.,R,19880315,ARG,180
Olaso G.,U,19880325,ESP,180
Zopp J.,R,19880329,EST,190
Riba P.,R,19880407,ESP,183
Bautista R.,R,19880414,ESP,183
Ito T.,R,19880518,JPN,180
Amrani R.,R,19880519,MAR,185
Souza J.,R,19880527,BRA,193
Sousa P.,R,19880527,POR,180
Marti Y.,R,19880607,SUI,173
Sakharov G.,R,19880610,FRA,180
Polansky P.,R,19880615,CAN,180
Mannarino A.,L,19880629,FRA,183
Mesaros K.,R,19880702,CRO,180
Zekic M.,R,19880712,SRB,180
Lindahl N.,R,19880731,AUS,183
Gulbis E.,R,19880830,LAT,190
Sugita Y.,R,19880918,JPN,173
Bakker T.,R,19880919,NED,193
Potro J.,R,19880923,ARG,198
Balazs A.,R,19880927,HUN,180
Cilic M.,R,19880928,CRO,198
Bester P.,R,19881006,CAN,188
Nedunchezhiyan J.,L,19881020,IND,180
Dolgopolov A.,R,19881107,UKR,180
Paula F.,R,19881128,BRA,180
Mektic N.,R,19881224,CRO,183
Romboli F.,R,19890104,BRA,180
Demoliner M.,R,19890118,BRA,180
Teixeira M.,R,19890118,FRA,180
Escobar G.,L,19890120,ECU,178
Quigley E.,U,19890130,USA,180
Granollers G.,R,19890130,ESP,180
Gonzalez A.,R,19890207,COL,180
Lajola D.,R,19890212,USA,180
Ferrol S.,R,19890305,ESP,180
Pavic A.,R,19890307,CRO,180
Sousa J.,R,19890330,POR,185
Schoorel T.,L,19890408,NED,203
Gigounon G.,R,19890420,BEL,180
Paire B.,R,19890508,FRA,196
Meister N.,U,19890515,USA,180
Bai Y.,R,19890521,CHN,180
Fabbiano T.,R,19890526,ITA,180
Millman J.,R,19890614,AUS,183
Jung J.,R,19890615,TPE,180
Klizan M.,L,19890711,SVK,190
Gojowczyk P.,R,19890715,GER,185
Bedene A.,R,19890718,SLO,181
Young D.,L,19890723,USA,183
Trevisan M.,R,19890813,ITA,180
Siriluethaiwattana P.,L,19890816,THA,180
Mcclune M.,R,19890822,USA,188
Marcora R.,R,19890830,ITA,180
Linzer M.,R,19891102,AUT,180
Sekulic M.,R,19891104,SWE,180
Albot R.,R,19891111,MDA,175
Gunneswaran P.,L,19891112,IND,180
Eriksson M.,R,19891129,SWE,188
Cervantes I.,R,19891130,ESP,180
Johnson S.,R,19891224,USA,188
Nishikori K.,R,19891229,JPN,178
Klein B.,R,19891231,AUS,183
Ramirez C.,R,19900125,MEX,180
Langer N.,R,19900125,GER,180
Trungelliti M.,R,19900131,ARG,180
Bagnis F.,L,19900227,ARG,183
Sarkissian A.,R,19900403,USA,180
Montana J.,U,19900405,ESP,180
Struff J.,R,19900425,GER,193
Ward A.,U,19900430,GBR,180
Herrera C.,R,19900430,ESP,180
Donskoy E.,R,19900509,RUS,185
Trinker B.,R,19900511,AUT,180
Pella G.,L,19900517,ARG,185
Yuksel A.,L,19900519,TUR,180
Watanuki Y.,R,19900520,JPN,180
Evans D.,R,19900523,GBR,175
Rufin G.,R,19900526,FRA,188
Eysseric J.,L,19900527,FRA,180
Giannessi A.,L,19900530,ITA,183
Krajicek A.,L,19900616,USA,180
Kontinen H.,R,19900619,FIN,191
Berankis R.,R,19900621,LTU,175
Pospisil V.,R,19900623,CAN,193
Wachiramanowong K.,R,19900625,THA,183
Lajovic D.,R,19900630,SRB,180
Zhang Z.,R,19900704,CHN,188
Lazov A.,U,19900709,BUL,183
Melzer G.,L,19900713,AUT,188
Reid M.,R,19900717,AUS,180
Satral J.,R,19900724,CZE,180
Corvalan C.,R,19900801,CHI,180
Belyaev I.,R,19900809,RUS,180
Gombos N.,R,19900813,SVK,193
Klahn B.,L,19900820,USA,190
Garanganga T.,R,19900906,ZIM,180
Safwat M.,R,19900919,EGY,183
Galovic V.,R,19900919,ITA,180
Cox D.,R,19900928,GBR,170
Rola B.,L,19901005,SLO,193
Delbonis F.,L,19901005,ARG,190
Stebe C.,L,19901009,GER,183
Willis M.,L,19901009,GBR,180
Smethurst D.,U,19901013,GBR,180
Moriya H.,R,19901016,JPN,170
Arevalo M.,R,19901017,ESA,191
Copil M.,R,19901017,ROU,193
Janowicz J.,R,19901113,POL,203
Elias G.,R,19901124,POR,178
Goffin D.,R,19901207,BEL,180
Cacic N.,R,19901207,SRB,180
Michon A.,L,19901216,FRA,180
Struvay E.,R,19901217,COL,180
Raonic M.,R,19901227,CAN,196
Bega A.,R,19910111,ITA,180
Scholtz N.,R,19910205,RSA,180
Marcan D.,R,19910212,CRO,180
Britton D.,R,19910317,USA,193
Diez S.,R,19910317,CAN,180
Herbert P.,R,19910318,FRA,188
Williams R.,R,19910322,USA,180
Yang T.,R,19910329,TPE,178
Olmedo R.,U,19910414,ESP,180
Ehrat S.,R,19910418,SUI,180
Dimitrov G.,R,19910516,BUL,188
Vasilevski A.,R,19910528,BLR,185
Perez E.,R,19910603,ESP,180
Buchanan C.,R,19910604,USA,180
Basic M.,R,19910712,BIH,188
Busta P.,R,19910712,ESP,188
Sandgren T.,R,19910722,USA,188
Andreozzi G.,R,19910805,ARG,180
Bellotti R.,R,19910805,ITA,180
Grigelis L.,R,19910814,LTU,183
Khaddari H.,R,19910819,MAR,180
Djokovic M.,R,19910820,SRB,180
Giustino L.,R,19910910,ITA,180
Wu D.,R,19910914,CHN,175
Hank T.,U,19910930,MEX,188
Hanfmann Y.,R,19911113,GER,193
Bangoura S.,R,19911118,USA,180
Lindell C.,R,19911120,SWE,193
Olivetti A.,R,19911124,FRA,203
Gomez E.,R,19911128,ECU,180
Barton M.,R,19911218,AUS,180
Travaglia S.,R,19911218,ITA,185
Androic T.,R,19911228,CRO,180
